2-cell	4-cell	8-cell	early_2-cell	ICM	mESC_rep1_merge	mESC_rep1	mESC_rep2	mESC_rep2_merge	MII_oocyte	zygote
1010001N08Rik	0.066028	1.0897039	4.165975	0	3.66725	0.0956559	0.0791635	0	0	0	0
1110001J03Rik	24.11602	29.02924	28.696648	83.11935	72.5168866666667	48.8513	49.60495	41.6113	39.8867	107.1388	80.5201
1110002E22Rik	0.0098598	0	0	0.0125858	0.0413891	0	0	0	0	0	0.2416211
1110002J07Rik	0.30840375	0.0773009	0.219258	0.669113	1.87365	0.413795	0.4146925	0	0	0.511853	0.3897505
1110002L01Rik	9.038138	6.21847	2.880424	0.6452835	1.9808101	0.37706	0.449775	3.113015	3.468736	0.02085645	0.5209004
1110002O04Rik	0	0	0	0.3393385	0	0	0	0	0	0	0.3305835
1110003F10Rik	2.10439	1.189922	1.710105	1.36672	1.116139	0	0	0.66801	0.490842	0	0.7407885
1110004E09Rik	84.970623	77.270847	64.107	208.804524	41.9956566666667	12.66764	12.819154	34.9591	31.8212	175.82182	151.4730605
1110004F10Rik	21.5467975	44.4702495	74.31185825	15.8368195	221.603435333333	133.623	132.77250865	150.55878	153.18557	13.9408	11.3517795095189
1110006O24Rik	4.787455	2.198225	0.5216415	1.886805	1.041903	0.31315	0.2591595	0	0	1.2965365	1.7287645
1110008E08Rik	0.13377157	0	0	0.11923683	0.12735016	0	0	0	0	0	0
1110008F13Rik	20.7539705	7.74529825	8.7942746	7.0680365	11.5248426666667	19.4714	19.092000098079	15.78285	16.0404	1.776085	4.730305
1110008L16Rik	31.953849	19.405435	18.7574429	31.222115	12.82224478	19.900805757	19.9338644	37.552323	38.117142	4.1094965	28.15863
1110008P14Rik	28.437682	52.19163895	45.58889585	15.062312	27.3770997333333	25.1815	24.70605	19.109414	19.010671	4.04633	8.736045
1110012L19Rik	3.466035	8.82604	20.27675	136.1655	39.9465333333333	12.7733	12.5541	5.72946	5.80789	51.9356	102.9232
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0.5245465	2.2431563	1.23175	0.5416520715	0.970462333333333	2.155755	2.324497	0	0	0	0.342759
1110018N20Rik	0.0785105	0	0	0.5964335	0.188788666666667	0	0	0	0	0.097617	0.3297875
1110019D14Rik	1.258384	1.3766475	1.7039035	3.162535	4.59740333333333	0.39371	0.3825605	1.91258	1.44378	9.138445	10.43798
1110020A21Rik	5.36095	0.9579615	0.4533738	6.130825	0.826703333333333	0	0	0	0	2.56037	7.80507
1110025L11Rik	0	0	0.056639	0	0	0	0	0	0	0	0.308026
1110025M09Rik	0.3210755	0	0.0351665	0.4345575	0.099797	0	0	0	0	0	0
1110028F11Rik	0.8777695	0	1.79532	0.468998	0.0689593333333333	0	0	0	0	0	0.4185995
1110028F18Rik	0.6299572	0.0931635	0.2847935	2.04186	0.41663	0	0	0	0	0.323254	0.666273
1110032A03Rik	8.16934545	5.745353	5.98552115	11.6896685	9.7108936	1.584889	1.3116375	11.960835	12.523065	3.323521	9.5168975
1110032F04Rik	0	0	0.020242	0.02541615	0.0791256666666667	0	0	0	0	0	0
1110034G24Rik	8.1327075	8.3132505	9.402831	9.8588455	16.8728056666667	16.489685	16.47413	6.15284	6.52921	9.15129802965	5.4669745
1110035H17Rik	1.513765	0.62750855	0.90912880685	0.06675689537	0.3078999633	0.533708	0.622535	0	0	0.46471	0.224226746195
1110036E04Rik	0.0790485	0.08661	0	0	0	0	0	0	0	0	0.1595545
1110037F02Rik	4.148389	6.7471825	8.85211	22.183122	4.96182566666667	2.0045585246	2.0068743862	10.368281	10.64336	39.343445	20.3339545
1110038B12Rik	22.959623	91.5503405	92.017871	13.6418985	126.34003	198.9237	196.095692	97.755275	101.22193	0.47141	7.8903185
1110038F14Rik	44.9278	82.73005	61.7357	12.6391	33.8786333333333	16.1003	15.7886	39.92655	41.6439	7.850835	15.8064
1110046J04Rik	0.83655265	0.753495	0.8983875	0.3274115	1.710924	1.045008	1.7899825	3.401865	3.061008	0.1634605	0.7425572
1110051M20Rik	3.2708995	1.9410835	1.9353895	11.1727675	7.04285273786667	1.419998	1.390007	5.4416135	5.321807	8.6120155	6.407379
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	25.458047	19.2833445	23.08799675	64.1892965	48.280262	45.7451	45.8764	33.8778	34.9156	14.56865	53.62351
1110059G10Rik	28.92213	21.050535	14.62807	8.269068	18.9516533333333	39.0301	38.54313	4.2774825	4.696515	98.94855	60.6375
1110060G06Rik	0.4437485	0	0.4433715	0	0	0	0	0	0	0	0.737082
1110065P20Rik	2.504831	2.210792	2.2871555	2.67754	7.58593992698333	0.316754	0.262142	10.05864	10.310598	2.1081755	2.1369025
1190002N15Rik	5.285945	1.713755	0.3623615	18.81145	2.25616666666667	8.01293	8.158395	0	0	34.33725	22.9004
1190003K10Rik	0.154321	0.401086	0	1.571431	0	0	0	0	0	4.86978	2.588341
1190005I06Rik	21.91935	1.121926	0.0478117	127.729535	0.872352333333333	0	0	8.994415	9.11213	231.36233	71.17234
1190007I07Rik	8.9702575	4.902472	5.5412645	43.598085	57.58767	65.22027	64.88774	88.27659	88.22655	64.001805	40.700479
1200007C13Rik	0.0414489	0.0473239	0.03489655	0.0489079	0.0936726666666667	0	0	0	0	0.0350268	0.02718765
1300002E11Rik	15.593701	7.9287575	1.2444616	80.910931645	11.742739	49.071444	48.40417	27.756153	27.336035	36.381397595	148.105789
1300017J02Rik	1.52669175	0.9513752	0.51379935	0.39832875	0.798285466666667	0	0	0	0	0	0.2442215
1500002C15Rik	0.366746	0.560999	0.8354035	0.7393985	0.286218	0.193849	0.159551	0	0	0	0.08866
1500002F19Rik	2.693734	0.6862885	0.5371725	2.0938995	0.288348	0	0	0	0	0	0.4201195
1500004A13Rik	3.05865	1.529706	1.43067485	12.0205515	0.998089833333333	1.968349	1.864599	0.2167215	0.213102	2.280595	2.47967525
1500005C15Rik	0	0	0	0.01816505	0.0195044666666667	0	0	0	0	0	0.02566675
1500009C09Rik	0.351393	0.226047	0.052724	0.3135325	0.0716406338301267	0	0	0	0	0.2167165	0.1912965
1500009L16Rik	0.0465616	0.303305	19.24195	1.040757	56.0861	95.5503	94.61235	54.5104	53.2293	0.3728335	0.526081
1500011B03Rik	21.014265	18.587092	11.00278	95.30287	22.5967566666667	17.50639	17.669135	25.31408	23.291993	94.35009	84.42605
1500011K16Rik	1.59026	6.21631	6.114845	3.13522	25.0771666666667	36.9076	36.9672	27.37755	27.7631	0.536631	2.64679
1500012K07Rik	0.442891	0.36921085	0.0225021	0.32360945	0.408262	0.444393	0.3677745	0	0	0	0.2271625
1500015A07Rik	4.066085	0.9422005	0.6512495	5.071825	2.332325	0.101663	0.084135	0	0	5.104715	4.106475
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	0	0	0.098828	0.0879	0	0	0	0	0	0	0
1500017E21Rik	0.207188	0	0.588973	0.420690004386058	0.2484342	0	0	0	0	2.6089275	0.87297300474276
1500026H17Rik	7.47612	5.334295	3.12813	1.84133	0.35285	0.82969	0.816573	0.120027	0.0876926	0.1718535	0.2831585
1500035N22Rik	0.158177	0	0	2.351915	0	0	0	0	0	0.835433	1.112396
1520401A03Rik	1.671615	0.6756791	1.0077657	0.12500345	0.0659606666666667	0	0	0	0	0	0
1600002D24Rik	1.1699475	0.3615698	0.4743795	24.56796	0.2122436	0	0	0	0	14.427195	28.249785
1600002H07Rik	19.814365	26.07831	11.895255	18.367996	15.4611746666667	2.4826698	2.59197845	16.462669	16.092813	11.824515	9.60977
1600002K03Rik	93.6349	68.29875	45.76095	0.6171715	17.7257	23.029	22.32045	2.5921	2.88698	0.1784005	1.422526
1600010M07Rik	40.2086745	40.5126885	56.9800785	23.356577	29.205417	0	0	2.1698835	1.81737	1.672845	3.4523085
1600012H06Rik	39.1038075	31.86589	13.21591925	4.52329655	12.2746683333333	3.36929	3.486994141	0	0	1.693223	3.7183725
1600012P17Rik	0.532183	0.3406005	0.2008595	0.1296745	0.0463916333333333	0	0	0	0	0.7829775	0.31621705
1600014C10Rik	0.5341905045	2.560164	3.3102215	0.0272838	1.95319242666667	0.316748	0.262137	5.152135	4.614052	0.0239782	0.16756705
1600014C23Rik	0.139606	0	0	0.1939855	0	0	0	0	0	0	0
1600015I10Rik	3.79928	0.2049175	0.1834134	0.880578	0.0748793333333333	0	0	0	0	0	0.1612054
1600017P15Rik	0	0	0	0	0.0944646666666667	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0.50363	0	0	0	0	0	0
1600020E01Rik	23.76099885	24.9088995	15.4343525	4.3513895	11.9221473333333	9.29782	9.40077	3.9958283	3.88943821	0.226994	3.119476
1600023N17Rik	2.043506	0.065647	0.509705	0.510977	1.20401433333333	0	0	0	0	0	0.143244
1600025M17Rik	161.6310185	15.134357	19.935627	1.037418	1.22973433333333	0.388057	0.480568	0	0	0	0.6208525
1600029O15Rik	0.4361825	0.944846	0.7267075	0.5935845	0.665052666666667	0	0	0.2138795	0.156731	0	0
1700001C02Rik	0	0	0.1957885	0	0.145624666666667	0	0	0	0	0.3683425	0
1700001C19Rik	1.2216195	1.4663825	0.6644875	0.3090105	0.240698333333333	0.399237	0.4939935	0	0	0	0
1700001D01Rik	0.1225905	0	0	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0.2708255	0.0953396666666667	0	0	0	0	0.232381	0.26599
1700001G01Rik	0.1724025	0	0	0	0.145356666666667	0	0	0	0	0.108124	0.04172705
1700001G11Rik	0	0.1053385	0	1.51296287215	0.93907	0	0	3.446945	3.35708	0.869879	1.450411
1700001G17Rik	2.486685	1.2160605	0.172124	1.0219675	0.756876666666667	0	0	0	0	0.3520095	0.422328
1700001J03Rik	0.155489	0	0	0.115	0	0	0	0	0	0	0.09996
1700001J04Rik	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	0.01057565	0.3054775	0.0376226666666667	0.318588	0.2636595	0	0	0	0.3851005
1700001K19Rik	0.491281	0.686985	0.12159465	0	0.503107333333333	4.16748	4.037575	0	0	0	0
1700001L05Rik	9.630468	6.3555825	2.33838485	37.51177	1.74331933333333	4.535707	4.278901	36.93032	37.21541	69.431435	43.33348
1700001L19Rik	0.3009445	0	0.0742325	1.23403	0.0653503333333333	0	0	0	0	0.624347	1.22668
1700001N15Rik	0	0	0	0	0.246908	0	0	0	0	0	0
1700001O22Rik	5.991208	12.5977105	8.6274965	0	0.296284	0	0	0	0	0	0.308193
1700001P01Rik	0.2696035	0.2408875	0.3179275	0.482237	0.925612	3.86778	3.20093	0	0	0	0
1700003C15Rik	0	0.1008864	0.067213	0.2868865	0.486023	0	0	0.197797	0.251324	0.360291	0.516508
1700003D09Rik	0	0	0	0	0.044476	0	0	0	0	0	0
1700003E16Rik	0.3440185	1.683766	0.641317	0.1513637	0	0.361078	0.383873	0	0	0	0
1700003E24Rik	5.24185	6.80959	4.128125	2.638535	1.74219	0	0	0	0	0	0.894275
1700003F12Rik	0.069081	0	0.137441	0.1469694	0	0	0	0	0	0	0
1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	0.105668	0.211734	0	0.2470665	0	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0.125911	0	0	0	0	0	0
1700003I16Rik	4.149545	3.99632	5.362235	2.4185	4.95478666666667	0.202061	0.253346	2.0833405	2.42766	0.662067	1.260451
1700003I22Rik	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0
1700003M07Rik	2.280345	0.7327205	0.1921005	0.196298	2.79126133333333	2.16743	2.23446	10.62976	10.70503	0	0
1700003N22Rik	0	0	0	0	0	0	0	0	0	0	0
1700003P14Rik	0.4194215	0	0.1054995	0.664329	0.220124333333333	0	0	0	0	0.244426	0.178134
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0.1248775	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0.1253725	0	0	0	0	0	0	0
1700006J14Rik	0.2162516	3.7285555	3.167037	4.427532	0.3960704	0.196296	0.303433	0	0	5.0406345	2.27212065
1700006P03Rik	0	0	0	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0.03580665	0.0253407333333333	0	0	0	0	0.082941	0.26712
1700007E05Rik	0.4300187	0.19365655	0.0361616	0.6859331	0.162505	0	0	0	0	0	0.0433236
1700007F19Rik	0	0	0	0	0	0.235686	0.195051	0	0	0	0.039359
1700007G11Rik	0.8724505	3.204322	1.661397	0	1.15366	3.983345	4.872535	0	0	0	0
1700007J10Rik	0.4362415	0.2883855	0.5846325	3.817111	0.512128666666667	0	0	0	0	2.07712	2.28797
1700007K09Rik	0.334398	0	0.386009	0	0	0	0	0	0	0	0
1700007K13Rik	0.607421	1.198253	1.9316335	2.3540455	23.1835383333333	9.90862	10.40738	6.05732	6.13338	0	0.4533615
1700007L15Rik	4.038515	5.52996	4.899715	2.069045	11.93297	0.332711	0.4134845	5.51595	5.57254	0.46437	1.06657
1700007M16Rik	3.364335	1.3704135	1.759664	1.166517	0.063244	0	0	0	0	0	0.422546
1700007P06Rik	0.757142	1.471125	4.007535	0.775659	2.78688	0	0	3.1911775	2.85016	1.42467	0.6163355
1700008A23Rik	0.0708555	0	0	0	0.111614	0	0	0	0	0	0
1700008B11Rik	0.079833	0	0.465397	0	0	0	0	0	0	0	0
1700008H02Rik	0.120805	0.1334685	0.2106885	0.189664	0.313175333333333	0	0	0	0	0.096421	0
1700008J07Rik	2.384665	1.66361	0.618535	1.59144	1.21519766666667	0.104603	0.170093	0	0	0.599512	1.076285
1700008K24Rik	0	0.2180685	0	0.2250085	0	0	0	0	0	0	0
1700008O03Rik	0.2086555	0.420995	0.648282	0.274739	0.4629806	0.08480734	0.266733	7.168732	6.911138	0.2059485	0.239124
1700008P02Rik	0	0	0	0	0.188544	0	0	0	0	0	0
1700009C05Rik	0	0	0.1157885	0.125671	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0	0	0	0	0.0816162281715
1700009N14Rik	0	0.050205	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0.076996	0	0	0	0	0.443255	0.083207
1700010B13Rik	0.10210905	0.069662	0.336423	0	0.110168	0	0	0	0	8.2789e-07	0
1700010D01Rik	10.90827	1.006435	0.6313105	11.222835	1.10188	0	0	0	0	0.313419	1.632705
1700010H22Rik	0	0	0	0.171149	0.0763126666666667	0	0	0	0	0.3819545	0.3599685
1700010I02Rik	2.96829	1.268585	1.481815	0.1398995	2.18443666666667	0	0	0	0	0	0.4455465
1700010I14Rik	0.86236	0.16974	0.01717025	18.57374	0.183046	0.20484	0.258578	0	0	31.4828525	20.546405
1700010J16Rik	0	0	0.3580285	0.32275	0.669361	0	0	0	0	0.1150155	1.0749795
1700010K23Rik	0	0	0	0	0.320253333333333	0	0	0	0	0	0
1700010K24Rik	9.103655	3.9427	0.903925	0	1.23834333333333	0	0	0	0	0	0
1700010L04Rik	0	0	0	0	0	0	0	0	0	0.0950345	0
1700010N08Rik	2.0959355	1.1890435	1.32572345	1.1834135	0	0	0	0	0	0.2367295	0.226058
1700011B04Rik	0	0	0	0.435146	0.247650333333333	0	0	0	0	0.22288635	0
1700011C11Rik	0	0	0	0	0.8901	0	0	0	0	0	0
1700011D18Rik	0	2.56546	0	0	0	0	0	0	0	1.683895	0
1700011E24Rik	0.449879	0.267492	0	0.3178675	0	6.80988	6.32244	0	0	0.4584715	0
1700011H14Rik	0	0	0	0.563848	7.08677966666667	2.13706	2.149945062023	0	0	0.2765385	0.39426
1700011I03Rik	0	0	0	0.1768775	0	0	0	0	0	0.2501965	0
1700011L22Rik	0.166722	0	0.0804155	0	0.963186666666667	0	0	0	0	0	0
1700011M02Rik	0	0	0	0.9785955	0	0	0	0	0	0	0.14065
1700012A03Rik	0	0	0.064497	1.6053745	0	0	0	0	0	0	0.692431
1700012B07Rik	0	0	0.343676	0	0	0	0	0	0	0	0.16156865
1700012B09Rik	0.102386	0	0	0	0	0.399237	0.3304035	0	0	0	0.934001
1700012C08Rik	0.02095985	0	0	0.1249465	0	0	0	0	0	0	0
1700012C14Rik	1.1743655	0	0	0	0	0.829794	0.68673	0	0	0	0.2750465
1700012D16Rik	0	0	0	0	0	0	0	0	0	0	0
1700012E03Rik	0	0	0	0	0	0	0	0	0	0	0
1700012I11Rik	0	0	0	0.401253	0.0518933333333333	0	0	0	0	0.4552985	0.5660825
1700012J22Rik	0	0	0	0.098251	0	0	0	0	0	0	0.2783445
1700012L04Rik	0	0	0	0	0	0	0	0	0	0	0
1700012P22Rik	0.10486285	0	0	0	0	0	0	0	0	0.100789	0
1700013A02Rik	0	0	0	0	0.123908333333333	0	0	0	0	0	0
1700013D24Rik	0.1416905	0	0	0.1081095	0	0	0	0	0	0.3055695	0.1955
1700013F07Rik	0.162737	0	0	0.13499	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0.41062	0	0	0	0	0	0
1700013H16Rik	32.998	0.0518575	0.65088795	2.957676	0.33842	0.839723	0.911153	0	0	0	0.173882
1700013M08Rik	0	0	0	0	0.0920126666666667	0	0	0	0	0	0
1700013N06Rik	0	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	0	0.1826305	0	1.1374725	0	0	0	0	0	0.1146764	0.73766015
1700014F14Rik	0	0	0	0	3.15851333333333	0	0	0	0	0	0
1700015C17Rik	0	0	0.266464	0.9598045	0	0	0	0	0	0	0
1700015E13Rik	0.061183	0	0.119146	0	0	0	0	0	0	0.1437905	0
1700015F17Rik	0.0682915	0	0.250291	0.365671	0	0	0	0	0	0	0.0678555
1700015G11Rik	1.0801625	0	0	0.29043	0	0	0	0	0	0.563075	4.860235
1700015O11Rik	4.108525	2.47727	1.038049	2.825505	0.279419333333333	0	0	0	0	2.6641	2.789445
1700016A09Rik	0	0	0	0	0.1177064	0	0	0.8987705	0.841289	0	0
1700016B15Rik	0	0	0	0.5479465	0	0	0	0	0	0.306546	0
1700016C15Rik	0	0	0.319894	0	0.173385333333333	0	0	6.46598	6.18571	0.144691	0
1700016D06Rik	1.8215075	1.263118	0.81909	0.940361	2.40308466666667	0	0	0	0	0	0
1700016D08Rik	0	0.52077	0.23156	0	0	0	0.75837	0	0	0	0
1700016F12Rik	0	0	0	0	0.414864	0	0	0	0	0	0.130961
1700016G14Rik	0.3172875	0.549435	0.2420535	0.318695	0.345999333333333	0	0	0	0	0	0
1700016G22Rik	0	0	0	0	0.398846666666667	0	0	0	0	0	0
1700016H13Rik	3.6092274	2.4239912	2.002541	9.333629	0.822068666666667	0	0	0	0	13.7285670192888	9.094409
1700016K19Rik	0.513211	3.902615	3.699245	0.171049	3.68957333333333	0.24276	0.200905	0	0	0	0.8153645
1700016L21Rik	1.0289735	0.2389335	0.418475	11.392545	0	0	0	0	0	1.66879	7.13387
1700016P03Rik	0	0.1129645	0.086682	0.139308	0.104021333333333	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0	0	0	1.244927
1700017B05Rik	11.83139	23.39805	6.01206	10.4801	2.7547	10.1678	10.042345	6.125065	5.97207	7.95086	7.33674
1700017D01Rik	0.3133294	0.0666205	0	0.3698145	0.0276123	0	0	0	0	0.0615455	0.555599
1700017G19Rik	0	0	0	0	0.129215	0	0	0	0	0	0
1700017I07Rik	0	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0.255649	0	0	0	0	0	0
1700017L05Rik	0	0	0	0.096823	0	0	0	0	0	0	0.268399
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0.0402126666666667	0	0	0	0	0.0561635	0.1734295
1700018A14Rik	0	0	0	0	0.130031	0	0	0	0	0	0.3639125
1700018B08Rik	0.898462694	0.8418835	0.85608012	14.211035125	2.84636975	0	0	0	0	10.556	10.10533396
1700018B24Rik	52.25655	20.32815	15.0923	213.4085	0.542515333333333	0	0	0	0	70.59535	97.85035
1700018C11Rik	0.073619644155	0	0	2.80453090995	0	0	0	0	0	0	0.19837520965
1700018F24Rik	0	0.002084855	0	0	0	0	0	0	0	0	0
1700018L02Rik	0.0360436	0	0	0.01746165	0	0	0	0	0	0	0
1700018M17Rik	0	0	0	0	0.474883333333333	0	0	0	0	0	0
1700019A02Rik	0.3580825	0	0	0	7.23369566666667	57.3854	57.15155	112.501	114.906	0	0.3448245
1700019A23Rik	0	0	0	0	0	0	0	0	0	0	0
1700019B03Rik	1.179264	0.37695845	0	1.3572575	0.361382666666667	0	0	0.4903361	0.359666	0.539585	0.7109125
1700019B21Rik	0.227984	0.953036	0	2.026665	0.313104666666667	0	0	0	0	0	0.72565
1700019D03Rik	2.39367600328836	0	0.1593265	19.120260061106	36.3860442	11.214534	11.81901	10.010245	9.18757	51.9230050530591	17.6037863727204
1700019E08Rik	1.2193995	2.264765	0	1.789955	1.968473	0	0	0	0	3.811825	2.773169
1700019G24Rik	0	0	0	0	0.150216666666667	0	0	0	0	0	0
1700019M22Rik	6.4437635	0.314783	1.318989	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0.0491442	0.27848	0.226446	0.283452	0	0	0	0
1700019O17Rik	0.130976	0	0.0156433	0.051649	0	0	0	0	0	0	0
1700019P21Rik	0	0	0	0.146776	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0	0	0	0
1700020D05Rik	0	0.0645395	0	0.687776	0	0	0	0	0	0	0.0703505
1700020G17Rik	0	0.235641	0.1596905	1.2868155	0.106005	0	0	1.936045	1.99505	3.629201	4.69508
1700020I14Rik	13.31846	14.84021	15.55997	7.0234305	20.6787066666667	23.61474	23.710755	13.50156	13.2896	0.791501	7.4546705
1700020L24Rik	0.094563	0	0	0.0954805	0	0	0	0	0	0	0
1700020M21Rik	0	0	0	0.361068	0	0	0	0	0	0.195453	0.1344245
1700020N01Rik	0.3208995	0	0	0.27525	0	10.8581	10.7862	0	0	0	0.2082485
1700020N15Rik	0	0	0	0.2097585	0.139569666666667	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0	0	0	0	0	0
1700021A07Rik	2.312137	0.332276	0	1.488555	7.03395666666667	0	0	7.596785	7.77391	1.41822	0.4945715
1700021F05Rik	167.467665	359.296056	320.582613	9.768436	82.6986966666667	68.8442	67.791	139.978	142.9827	2.46686	11.25295
1700021F07Rik	0.91157	0	0	2.918095	0	0	0	0	0	0.771616	2.681325
1700021F13Rik	0	0	0	0.12209	0	0	0	0	0	0	0
1700021J08Rik	2.729185	1.995967	1.818845	2.863905	0	0	0	0	0	0	1.518835
1700021L23Rik	0	0	0	0.5139425	0	0	0	0	0	0	0
1700021N21Rik	0	0	0	0	0	0	0	0	0	0	0
1700021P04Rik	0	0	0	0.2712015	0	0	0	0	0	0	0.334277
1700022A21Rik	0.131164	0.80737365	1.171289	0.03125295	0.404467666666667	0	0	0	0	0	0
1700022A22Rik	0	0	0	0.0620335	0.125938333333333	0	0	0	0	0	0
1700022E09Rik	1.0378125	0	0	0.3020035	0	0	0	0	0	0	0.861874
1700022F17Rik	0.987673	0.058183	0	6.4153	0.0619323333333333	0	0	0	0	0.530758	5.062195
1700022H16Rik	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0.60489685	1.00603175	0.73244405	0	1.0194207	0	0	0.466167	0.33817	0.0198957	0.4951845
1700022N22Rik	3.920355	5.752185	1.02216	0.9888365	4.8129	0	0	0	0	0.1652025	0.7806445
1700023C21Rik	0	0	0	0	0	0	0	0	0	0	0
1700023F02Rik	1.648368	0.755395	0.68648	1.07057	1.316	0	0	2.18498	2.77627	3.749165	2.332541
1700023F06Rik	0	0	0.148264	0.0893115	0.0693386666666667	2.23593	2.4081	0	0	0	0.1929475
1700023G09Rik	0	0	0	0	0	0	0	0	0	0	0
1700023H06Rik	0.7578735	0	0.357901	0.40905435	0.560493666666667	0.205583	0.170138	0	0	0	0.53231
1700024B05Rik	6.20238	1.32745	0.8980705	26.3702	4.11746466666667	0.6196117	0.6200612	1.335922	1.292171	25.2306	26.6909
1700024B18Rik	0	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0.5964495	0	0.938165	1.14983	0	0	0	0
1700024J04Rik	0.09448685	0.131473	0.384546	0.0973545	0.361722666666667	0.870137	0.806972	0.7907985	0.776723	0.0895535	0
1700024P04Rik	0	0	0.8567685	0	0	0	0	0	0	0	0
1700024P16Rik	0.795194	0.074482	0.0810973	17.6672000002099	0.138477333333333	0	0	0.1182825	0.0864132	35.14672	27.12037
1700025A08Rik	0	0	0	0	0.109571	0	0	0	0	0	0
1700025B11Rik	0	0.8637885	0	1.329014	0	0	0	0	0	0.778613	1.060845
