gene	MII_oocyte	zygote	early_2cell	2cell	4cell	8cell	mESC
Fignl2	0	0.0221988	0	0.0103225	0	0.0445667	0.667438
Mir7071	0	0	0	0	0	0	0
Olfr1466	0	0.446233	0	0	0	0	0
Tlr9	2.4895	1.54055	1.98956	0.303288	0.0463077	0.021807	0.0778801
Kcnh1	31.735	12.4627	10.101	6.26572	1.30008	0.195712	0
Spaca7	0	0	0	0	0	0	0
Lrat	0	0.00861931	0	0	0	0	0
Otop2	0	0	0	0.0386224	0	0	0
Rnf115	8.14546	13.6888	14.1542	38.5443	49.4393	53.2778	15.0457
Hdgf	23.3982	17.4523	5.96934	77.6252	86.1048	155.707	163.26
Chst12	0.85564	2.30986	4.43475	15.9725	15.8572	12.1394	0.882922
1700019D03Rik	18.863	6.47438	6.06061	1.1504	0	0.0542198	41.4957
Otx2os1	0	0	0	0	0	0	0
Sowahc	0	0.0206182	0.89849	0.873364	2.43655	1.22681	0.384058
Nup188	15.8369	9.27731	11.3477	4.13784	4.13809	1.64252	2.44552
Vmn1r184	0	0	0	0	0	0	0
Gpx2	0	0.0533864	0.184654	0.0705677	0.0579634	0.0802651	1.68702
4930423M02Rik	1.93333	2.51524	1.46778	0.122058	0	0	0
Mir6925	0	0	0	0	0	0	0
Msmb	0	0	0.390727	0	0	0	0
Olfr1084	0	0	0	0	0	0	0
Pithd1	8.45155	5.36822	4.41286	10.4002	6.55001	5.49937	15.6954
Ptprb	1.50893	0.512956	0.482794	0.0850007	0.0431631	0.0398467	0.0108796
Rab9b	0.298336	0.587948	0.451109	0.150962	0.0992655	0	0
Ccdc155	1.45998	1.20804	1.01895	2.11178	1.90707	0.811628	0.316743
Mir6909	0	0	0	0	0	0	0
Vsig8	0	0	0	0	0	0	0
Tmem88b	0	0.0272664	0.0119853	0.0168493	0.0617436	0.130842	0.048675
Prkag2	0.780627	0.370828	0.224808	0.0800218	0.294113	0.706776	1.36118
Nmt1	4.33119	6.86925	11.0672	11.3516	12.3398	16.3574	29.456
Cd22	0	0	0.0103803	0	1.03093	1.11902	0.0337609
Gpr111	0	0	0	0.0134036	0	0	0
Slc15a1	0.193534	0.106962	0.0671203	0.0424001	0	0.0121885	0.697173
Mir5710	0	0	0	0	0	0	0
Batf3	0.289742	0.750036	1.11625	0.236036	0.0977177	0.132855	0.744184
Fut4-ps1	0	0.0195406	0.0342724	0	0	0	0
Slc47a1	0.233939	1.65643	0.758948	0.118681	0	0	1.09874
Sharpin	3.84412	0.472494	0.0515787	1.09948	6.3773	5.89555	2.90631
Pbx4	0.75004	0.717333	1.17822	2.96458	3.99326	3.21127	0.99846
Nup210	0.821607	0.246234	0.234264	0.109133	0.0443619	0.0996115	1.21163
Dnaic1	0.636718	0.411082	0.0686657	0.0180053	0	0	0
4930565N06Rik	0	0	0	0	0	0	0
Nos1	4.71387	2.3051	2.49656	1.10714	1.26696	0.674422	0.0912954
Sod2	16.3227	9.10957	14.5774	16.5352	41.0051	41.9979	36.379
C1rl	0.604738	0.0318085	0.195559	0	0.323339	0	0.135973
Cdk6	1.36956	1.02751	1.87131	0.181707	0.022226	0.156494	3.3659
Tcea2	2.58557	1.00419	0.828879	0.127294	0	0.108755	1.45309
Fam83h	0	0	0.0636508	0.00959991	0.258234	0.614667	0.147983
Bdkrb1	23.9168	10.768	4.05229	0.395961	0.0884546	0	0
Il17ra	4.28698	0.543173	0.249331	2.77576	4.35363	1.81855	0.0337883
Sgk1	2.03429	2.81388	4.11027	11.9978	55.5457	99.0529	100.629
Aig1	11.2621	22.4561	10.6901	2.29191	0.5884	0.122169	0.744628
Atp6v1e1	18.1865	61.1152	49.6244	57.464	110.515	138.943	55.374
D430042O09Rik	6.95077	2.06439	1.487	2.11248	2.20978	0.711339	0.0212658
Sufu	24.0104	8.99641	8.92595	4.03021	2.18549	0.421636	1.41429
Iltifb	0.384434	0.73573	0.0878461	0	0	0	0
l7Rn6	7.06373	14.2241	6.60834	102.665	62.0562	71.818	181.032
Olfr902	0	0	0	0	0	0	0
Zscan22	0	0.0493286	0.620927	0.334121	1.41016	0.776173	1.76014
Gm8994	3.6114	0.496234	103.305	30.6386	38.449	28.6452	4.6351
Olfr279	0	0	0.054888	0.166388	0.20544	0.283096	0
Olfr862	0	0	0	0	0	0	0
Dda1	89.2832	33.1683	55.5692	56.6823	41.7476	33.0115	14.2988
Mdc1	2.16444	2.12968	2.06375	6.11063	9.06121	3.77268	2.46434
Ptprk	0.568971	0.133501	0.169969	0.270308	0	0.0479326	1.70525
Kit	136.15	58.1851	47.357	14.5149	4.37749	0.734964	0.974951
Gata1	0	0	0.139152	36.4613	33.4993	41.8656	0.149601
Cnga4	3.46391	1.65241	1.67326	0.886488	0	0	0.0558524
E130309D14Rik	0	0	0.0103008	0.076156	0.996241	1.99121	0.268032
Apol7c	0.0173727	0	0.235208	0.0502484	0.0136726	0	0
Neil2	0.11259	0.526659	0.529628	0.480217	0.705901	0.165113	0.445665
Rad51d	7.93465	9.7499	10.6415	1.64651	2.85485	2.73679	0.541689
H2-Bl	0	0	0	0.211941	0.0347763	0.0467781	0.91274
Atp7b	0.0137767	0.0393999	0.0260194	0.0275265	0.123179	0.0554818	0
Cacfd1	3.39612	3.93569	4.15112	1.91325	1.43028	2.28929	1.7604
Gli1	0.0722588	0.141589	0.0905558	0.107487	0.0291713	0	1.98681
Glt6d1	0	0	0	0.0458001	0	0	0
Grem2	0	0.0125667	0	0	0	0	0.0718635
Il10rb	2.77406	20.098	12.7806	1.09707	0.244396	0	0.0771556
Fstl3	7.38473	3.57682	3.37619	0.608766	4.36001	28.7443	0.290502
Ccdc71	8.21496	2.9031	1.95661	1.60526	3.45445	1.16382	1.05115
Rho	0.227463	0.176442	0.180886	0	0	0	0
Nt5dc1	25.9825	27.5817	21.6991	2.05066	0.220634	0.0848229	2.53085
Obox5	1609.67	1288.03	1827.96	126.053	10.952	2.46915	0
4931428F04Rik	0.360157	0.385633	0.637097	0.097834	0.600782	0.873968	0.705334
A930016O22Rik	0	0	0	0	0.0939657	0.210649	0.0592487
Rbbp6	0.912222	0.717655	2.33683	58.1098	22.5356	12.9363	7.18143
4922502N22Rik	0	0	0	0	0	0	0
Gbf1	58.7875	20.8619	20.7246	5.44521	2.69729	1.48448	0.760196
Plp1	0.272125	0.168989	0.297071	0.0130417	0.0473481	0.0450188	0.643245
Gm7030	0	0	0	0.0612129	0.0239282	0.0409181	0
Slc6a20b	3.76275	2.49025	1.48123	0.113784	0.177172	0.0923776	0
Tst	0	0.0515724	0.178513	0	0.0560989	0	7.09791
Bpifb6	0	0	0	0	0	0	0
1700015E13Rik	0.144527	0	0	0	0	0	0
Mir7030	0	0	0	0	0	0	0
Nid2	0.119536	0.0664358	0.36814	1.92244	1.4408	0.259715	6.85977
C1qtnf7	0	0	0.0741247	0.114329	0	0	0
Fam117b	14.6566	19.3559	13.0528	11.9333	2.42485	1.81836	2.93777
4930474H20Rik	0.102561	0.0355973	0	0	0	0	0
Pcdhga2	0	7.23986e-75	0.130016	7.83528e-25	6.21611e-31	2.11595e-09	1.83547e-07
Crabp2	136.782	100.622	208.97	3.13304	1.29029	1.33154	1.27126
Ehmt1	11.8445	4.34843	3.99588	10.4887	11.1594	8.63218	5.24235
Ubr3	0.469168	0.915544	1.23883	2.32687	1.97612	2.43512	2.49242
Asic3	0.0368931	0	0	0.212656	0	0	0
Dnajc7	10.5979	34.9549	18.433	12.9612	33.9636	46.7482	9.22462
Csn3	0	0	0	0	0	0	0
Ccdc134	0.0347257	0.317448	1.08991	9.77643	9.37434	3.07151	1.65621
Tor3a	0.0613684	0.261863	0.562523	7.83886	8.80364	2.61405	5.85363
Il4i1	1.30249e-38	0	0	9.85527e-11	2.4289e-06	6.07863e-06	2.39314e-22
Nup37	277.751	156.974	129.758	22.1127	34.9661	31.6082	75.8069
Sppl2b	0.0472462	0.0670322	0.0147132	0.835402	3.1391	0.666784	0.381739
Cxcl13	5.73677	6.12741	7.3434	2.08127	0.0522723	0.145153	0
Aimp1	3.66656	6.05577	1.43009	7.08581	27.863	45.4517	153.69
Rpl24	0	1.31088	0.854975	74.0189	149.454	191.05	189.001
Phospho1	0.0376222	0.0527919	0.118066	0.271643	0.00335997	0	0.0774658
Mrpl48	12.4493	93.2524	78.5113	15.5168	18.5489	27.2434	36.4246
Mlf2	159.125	96.72	162.923	80.7694	281.577	439.029	26.43
Popdc2	14.8404	10.4426	8.34181	0.370329	0.137994	0	0
Malat1	0.746214	0.842475	2.10188	8.8427	12.3536	23.4661	88.2455
Dock6	0.903293	0.250814	0.307106	0.397392	0.7707	1.39121	2.5441
Timp1	0	0	0	1.00442	0.218844	0.400014	19.4056
Mup14	4.47409e-06	2.48867e-07	3.15318e-06	0	0	0	0
Foxe1	0	0	0.0436276	0.222857	0.658578	0.761066	0
1700123O12Rik	0	0	0	0	0	0	0
Mir467a-4	0	0	0	0	0	0	0
Zfp703	1.92422	1.15729	2.77313	2.40578	1.35933	0.515721	0.0428598
Tmigd1	0.34005	0.744379	0.545233	2.81149	7.5548	8.18654	0
Fam207a	1.05449	1.38964	1.55383	11.1991	26.6066	22.6036	5.77265
Olfr374	0	0	0	0	0.0571125	0	0
Wls	5.33557	4.62559	2.74129	0.613782	0.365086	0.0428787	0.0511717
Casp12	0	0	0	0	0	0	0
Ctbp2	88.3773	46.8321	39.0067	2.41567	1.7553	2.08619	50.0147
Wdr3	1.68889	1.5199	1.51827	11.0375	27.5076	47.7672	12.1532
Itpripl2	0	0.0066472	0.0175827	0	0	0.0215066	0.0382374
2210416O15Rik	0	0	0	0	0	0	0
Ankmy1	1.01084	0.968166	0.206248	0.0271578	0	0	0.125568
Zdhhc11	0	0.0415838	0	0	0.137118	0.572897	0
Gm1647	0	0	0	0	0	0	0
Zbtb22	0.394445	0.558449	0.293954	1.04574	2.53663	0.694167	1.26978
Ap1s1	7.53894	12.8497	12.6394	48.229	64.0523	130.331	11.3413
Ptprs	2.23579	1.10312	1.89665	0.535042	0.325744	0.284042	1.73993
Mir6341	0	0	0	0	0	0	0
Plekhn1	0.095216	0.0894848	0.411501	0	0	0	0
Gprc5b	0	0.0412077	0.0726669	0.0719095	0.0638911	0.033058	0.33005
Tubb4b	98.4504	283.95	220.326	309.335	634.756	267.915	208.926
Zfp558	1.11561	2.7536	2.15305	1.6706	2.59505	1.32433	0.245028
Mir99a	0	0	0	0	0	0	0
Lta4h	0.0686293	0	0.211271	0.0882862	0.729642	0.683435	13.1007
Tmc2	0.208199	0.133221	0.260136	0.744358	0.318033	0.0384032	0.0084461
Cylc2	0	0	0	0	0	0	0
Gm16576	0.0119091	0.0426373	0.045077	0.0397868	0	0	0.0489615
Rasa2	101.779	76.1229	61.7865	24.4781	8.83899	3.51518	1.2279
Snord111	0	0	0	0	0	0	0
Dnah9	3.60808	0.953048	1.70601	0.412619	0.0670405	0.0873046	0.00938736
Agpat3	0.541651	0.413091	0.677859	0.535972	0.623525	0.220205	0.43257
Mbl2	74.1801	54.6952	35.0703	9.15306	2.13974	3.04329	0.43908
Zfp362	0.0940181	0.15008	0.278183	0.0923752	0.0188188	0.0929022	0.0949724
Mrc2	0	0	0.0139561	0.0369747	0.018042	0.019175	0.0682383
1190002N15Rik	23.7322	14.0443	11.2174	5.08467	1.50832	0.333261	3.19303
Med23	32.1008	18.5449	18.4519	6.75947	11.9228	10.153	2.90994
Icmt	4.34409	0.613926	0.446275	3.55804	2.8538	1.47966	0.968148
D630033O11Rik	0	0	0.332699	0.638925	0.133178	0	0
Rgl1	0.812839	0.398542	1.06242	0.41504	0.123272	0.0387325	0
H2bfm	0	0	0	0.0960483	0	0	0
Msl3l2	1.81174	0.556716	0.589024	0.0637095	0	0	0.984484
Gm2109	0	0	0	0	0.040835	0	0
Gm10653	0.0697463	0.0767873	0.845484	2.63205	0.903351	1.25223	1.59963
Cpxm1	0	0.0404087	0	0	0.204436	0.559651	0.80269
Alms1	4.8789	2.79345	2.14725	2.19836	1.7118	1.4017	0.976947
Nmral1	1.96804	2.67291	2.14815	6.67574	9.16659	2.08882	18.0769
2900060B14Rik	0.199323	0.372327	1.04147	2.91642	1.25589	1.85473	1.59756
Klhl31	0	0.0146361	0.0129012	0	0	0	0.0210341
Ocrl	8.91403	6.25533	5.35317	1.14689	0.425904	2.91552	1.58542
Ppp2ca	3.97647	5.9209	4.95006	23.0057	9.47095	14.9296	71.6779
Vmn1r58	0	0.0361149	0	0	0	0.0716996	0
Svs1	0	0	0	0	0	0	0
D11Wsu47e	4.44411	5.38503	4.40077	4.50069	13.8725	6.32471	4.40168
Il10	0	0	0	0	0	0	0.115046
Ppp2r5b	2.06617	1.1247	2.61635	1.13555	0.724374	0.198544	0.253892
Olfr103	0	0	0	0	0	0	0
Rpl27	0.826002	0.970227	1.90747	27.6511	91.5636	127.212	144.491
Il23r	4.15818	8.74227	6.9788	1.28004	0.0441032	0.0155278	0
Cuzd1	0	0.1093	0	0.180428	0.0490664	0	0
Mir7037	0	0	0	0	0	0	0
Slc22a16	0.0936057	0.132013	0.173475	0.0806964	0	0	0.0623262
Tecr	11.0782	14.6652	17.5815	3.93918	17.3882	33.1636	100.319
Rpph1	0	2.80695	0.669226	4.09909	3.37946	29.2121	4.89813
Caprin1	12.1298	13.1195	20.0346	20.4405	54.0407	48.4641	67.1031
Olfr876	0	0	0	0	0	0	0
Ndufb3	17.1886	13.2046	20.2393	15.5106	27.9905	43.6436	307.159
1700001G17Rik	0.10194	0.136173	0.234079	2.29806	0.800999	0.250355	0
Ott	0.023013428	0.02418035	0.0212374	0.0268106	0.0290214	0.025471	0.00432972
Mdm4	261.292	348.524	246.079	237.883	57.1953	14.1651	6.41972
Senp3	4.17602	6.09167	5.15781	34.9322	57.3599	44.7896	20.3222
Ptpru	0.140958	0.00838958	0.0444757	0.0313932	0.0670401	0	0.0482629
Sytl1	0.0745542	0.0261608	0.114392	0.0954366	0.0876767	0.102549	0.0738043
Zdhhc16	1.08063	2.19839	3.52773	7.0772	6.14115	2.8258	5.45636
Arrdc5	0.0796642	0.541084	1.44999	1.19097	1.11537	1.0564	0.148578
Scarb1	25.3017	7.51966	11.6442	1.84364	0.94361	0.963818	1.36186
Mrpl1	2.71924	10.5794	3.46487	2.68391	5.22271	10.557	20.5161
Olfr193	0	0	0	0	0	0	0
Eva1b	0	0	0.0341668	0.528496	0.519373	0.422426	1.20358
Fas	0	0.106191	0.246694	0.0638088	0	0	0
5730488B01Rik	0	0	0	0	0	0	0
Gm11570	0	0.0267004	0	0	0	0	0
Ube2m	0.84766	0.915683	0.347526	0.712458	1.42991	1.75798	2.18877
Trim24	5.77923	8.03233	7.3589	8.29064	4.43174	8.63433	9.03307
Pla2g12a	10.2239	5.33512	5.03813	3.94543	3.80806	4.19644	6.44431
Pf4	0	0	0	0	0	0	0
Gm5069	0	0	0.00676235	0	0	0.00351729	0
Elavl3	5.79864	5.25286	2.83994	2.30716	0.481427	0.25936	0.422273
Gm5065	89.8679	100.387	44.0856	2.3225	0.285154	0	0
Mir126a	0	0	0	0	0	0	0
Olfr869	0	0	0	0	0	0	0
AF251705	0	0	0	0	0	0	0
Bcat1	3.87917	7.1041	10.7337	13.2499	61.603	123.87	17.783
Ankrd49	66.9928	52.5643	31.5372	18.3508	13.0827	7.63257	9.11607
Gm3376	0	0.0274148	2.26434e-05	3.82429e-09	0	4.50444e-08	0.0395288
Npm1	47.9493	408.936	311.324	532.758	1122.28	1685.17	2232.88
4930455B14Rik	0	0	0.133731	0	0	0	0.1418
Mboat7	8.23294	0.867784	0.644698	1.64858	4.95303	6.78687	3.46908
Ppm1h	3.50597	5.16196	6.63657	4.80479	1.35578	0.28367	0.370662
Rbm25	67.1355	58.4681	23.5435	56.4287	29.5625	31.9811	40.6034
Gclm	1.23116	1.8044	1.87421	4.40028	0.94281	1.05977	24.2811
Cep63	1.9439	4.04279	3.12674	15.6667	27.9142	24.2717	3.25179
Ran	10.9413	12.5199	20.2877	81.4086	165.029	217.205	294.278
Gm6602	0	0	0	0	0	0	0
Fcgr4	0.0635357	0.655333	0.796525	0.0779364	0	0	0
Mir6948	0	0	0	0	0	0	0
Mtus2	25.8965	13.0346	12.6336	3.55598	0.997966	0.932362	0.485835
Tars2	3.90151	2.02641	0.891457	4.17387	9.82107	10.3589	8.07368
Mrgprx1	0	0	0	0	0	0	0
Mirlet7f-2	0	0	0	0	0	0	0
Fam173b	0.835686	1.62054	2.60265	0.803735	4.00839	6.63216	3.68731
Grik3	0	0.0102365	0	0	0	0	0.383335
Mcat	0.532309	0.560028	1.07258	1.06946	1.69724	0.835628	4.66227
Olfr723	0	0	0	0	0	0	0
Stxbp5	4.44023	3.51855	3.35078	7.78879	1.90241	0.3072	0.215374
Olfr1451	0	0	0	0	0	0	0
Gcdh	0.865818	2.66236	4.05391	9.16433	18.0216	18.0471	9.22631
Ccdc68	2.71523	2.8486	2.00413	0.216835	0	0	0.768447
Mir26a-1	0	0	0	0	0	0	0
Dmap1	4.56155	6.16675	3.35119	6.40751	35.2121	49.3973	8.82086
Hr	0.0234377	0.00839251	0.0147887	0.00783281	0	0	0.0722897
Rufy1	2.05924	3.91934	2.47925	2.35153	2.38243	2.41692	1.55495
Wasf3	11.2442	4.82949	7.24245	2.57434	0.30461	0.10018	0.307489
4732491K20Rik	0.232356	0.255246	0.26384	0.0555691	0	0.0119816	0.342612
Olfr1504	0	0	0	0	0	0	0
Gtse1	47.6994	24.6535	20.2837	19.7422	25.7626	11.4201	20.4417
Snap29	12.8056	12.0197	13.4291	12.2367	9.54494	7.83405	1.06406
5730455P16Rik	0.315583	0.512573	0.324905	4.43818	3.07545	1.8562	2.23284
Olfr160	0	0.0637476	0	0	0	0	0
Gm11544	0.0571538	0.197471	22.6257	347.601	281.959	140.632	0.219965
Sfrp1	0	0.0639515	0.187639	0.555421	0.508483	3.7174	12.3662
Gbas	96.3338	68.1047	70.315	17.9263	5.07477	0.597414	18.0454
Rhag	0	0	0	0	0	0	0
Olfr685	0	0	0	0	0	0	0
Mir3081	0	0	0	0	0	0	0
Tmem255b	186.969	42.0822	32.153	3.86141	2.20713	0.876425	0
Efhc1	0.476577	0.716607	0.529606	0	0	0	0.126823
Prss36	0	0.140548	0.164609	0.620832	1.27034	0.896396	1.06841
Smok3b	0	0	0.00923499	0	0	0	0
Mab21l3	0.242319	0.172581	0.0700355	0	0	0.0106235	0.0758634
AI593442	0	0	0	0	0	0	0
Sfxn2	0.542059	0.251979	0.273508	0.576153	0.988886	1.77479	1.22631
Bglap2	0	0	0	0	0	0	0
Mir664	0	0	0	0	0	0	0
4930546K05Rik	0	0	0.0704369	0	0	0	0.0381474
Kctd15	0	0	0.0533831	0.391695	0.0912705	0.867316	1.38226
Gm5083	18.7204	17.4419	11.9527	1.83266	0.250488	0	0.126714
Paf1	101.566	37.8011	12.9871	49.2642	68.2337	32.1992	10.5309
Ssxb1	0	0	0	0	0	0	0
Rfx3	0.658348	0.216776	0.373404	0.0648872	0.0169352	0.0160286	0.512707
Luzp2	0.0244397	0.0174956	0	0	0	0.0916714	0
Ccdc30	0.17415	0.782768	0.73736	0.949904	0.665453	0.120058	0.554835
Tmco1	9.899	9.30949	7.89316	17.7382	21.4618	20.3709	16.6911
E2f5	55.1835	58.5805	39.8986	32.3553	7.3853	3.60179	12.4915
Cfap46	0.0768499	0.0883434	0.0535771	0.027588	0.00630666	0.0178971	0
Fam89b	0.727754	1.54367	2.44209	6.31601	6.97362	4.70002	4.56186
Qtrt1	0.177459	0.571376	0.461174	15.5272	21.729	29.3355	13.1671
Taf6l	8.67578	1.42803	1.11031	6.61663	17.9479	16.5947	1.19325
Gm5148	0.395666	2.19517	3.02374	171.701	366.289	342.85	877.997
Kctd16	0	0	0.0341069	0	0	0	0
Htt	2.01101	0.488425	0.302468	0.656434	0.621308	0.609544	0.420862
Rbm12b1	8.98643	5.89326	4.90218	4.03204	2.85479	2.31048	1.94172
Rbm43	0.0366681	0.309135	0.180257	0.0664974	0.0575649	0.286057	1.52685
Got1	12.6922	17.6595	19.6173	22.1332	15.5051	29.0319	59.1699
Nufip2	4.8671	9.34326	5.37373	7.53889	6.60177	8.18581	9.89465
Zfp688	0.42032	0.51216	0.294816	1.09844	1.53904	1.23402	3.74031
Pmel	0.1656	0.0699582	0.347102	2.903	5.64413	7.14373	1.45306
Nelfa	146.085	66.35	71.3129	35.3403	58.4963	47.1484	9.99923
Cphx2	21.8584333333333	7.98374666666667	7.27573	10.43903	3.98500666666667	2.7826	0.0234068666666667
B3galnt2	41.1694	16.2777	13.9777	5.99443	1.8077	1.09727	3.26906
Tmprss13	0	0	0.0515448	0	0	0	0
Grin2b	0.109725	0.0545445	0.203108	0.0226948	0.0345915	0	0.0523245
Efs	0.111396	0.0396708	0.0348817	0.22075	0.104851	0	0.151142
1110065P20Rik	1.29471	0.875604	1.18681	1.82137	1.35705	1.09933	9.18833
Serpina3n	0	0	0.0209115	0	0	0	0
2410012M07Rik	26.4769	7.78641	13.1189	2.87969	15.4894	4.57599	1.34087
Crispld2	0.299817	0.112642	0.138775	0.345623	0.0895035	0.0994755	0.193495
Srp68	10.423	5.87897	5.10544	4.91294	10.3472	9.48723	12.8112
Cd46	0.0660875	0	0	0	0	0.0690271	0
Akr1c18	0	0	0	0	0	0	0.130878
Alg1	9.08888	2.80114	1.12451	4.79637	21.3424	14.9085	0.553055
Tfeb	0	0	0.0189854	0.477218	6.75462	19.0459	1.04422
Ppp4r1	3.56836	2.71217	2.78097	1.22378	0.582847	2.82301	7.04204
Slc5a8	0.821552	0.45844	0.35815	0.00807022	0.118157	0.460269	0
Sh2d4a	0	0	0.0153033	0	0.01966	0.0692975	0.347285
Pgm2	3.6072	0.673434	0.682418	0.850088	0.638248	0.748483	0.895058
Spink10	0.216602	0.0493186	0.170871	0.174724	0.37641	0	1.08838
Tmem180	1.80665	2.63552	3.65313	3.5276	1.16404	0.170587	1.6529
Ptgir	0	0.0142374	0.0125133	0	0	0	0.0812826
Dusp7	62.4201	49.8178	69.7316	78.4666	15.202	2.79233	0.845731
Gpr3	37.7547	23.461	26.343	21.2888	26.8384	7.77166	0.131062
Gpr137	7.88195	3.97225	7.53696	2.34337	2.65382	2.20221	1.02831
Snord89	0	0	0	0	0	0	0
Zfp760	2.99964	3.95039	3.50589	2.75541	1.37322	0.365356	2.09714
Ms4a6c	0	0	0	0	0	0	0
Mfn1	40.3107	19.7776	17.3243	10.5476	21.7979	23.377	2.76486
Atp7a	9.96649	5.14092	3.51449	6.7295	6.01396	6.65005	0.605475
1700052I22Rik	0	0	0.240236	0	0	0	0
Vegfa	0	0	0	0.066098	0.0484482	0.0912349	2.30023
Cd97	0	0	0	0	0.0547118	0.805425	1.70629
Asph	7.88698	13.6791	6.24388	4.71776	3.30023	1.23723	2.83509
Cysltr2	1.21493	1.25968	0.511717	0.133045	0	0	0.329552
Mir5114	0	0	0	0	0	0	0
Olfr30	0	0	0	0	0	0	0
Olfr921	0	0	0	0	0	0	0.289258
Fam154a	1.69639	1.27141	0.845478	0.150959	0.832379	1.1674	0
